sku,sale_date,purchase_date,product_description,manager,purchase_price_uah,sale_price_uah,margin_uah,missing_sale_date,missing_purchase_date,missing_sku,sale_year,usd_rate,purchase_price_usd,sale_price_usd,margin_usd,brand,product_category,cpu,cpu_vendor,ram_gb,storage_type,gpu_type,is_gaming_laptop,days_on_market,sale_month
5076,2023-01-05,2022-01-21,систем hp omen i5 7300hq 16 500ssd gtx 1080 8,manager_1,18550.0,23000.0,4450,False,False,False,2023.0,38.5,481.8181818181818,597.4025974025974,115.58441558441558,unknown,desktop,i57300,intel,16,ssd,,0,349.0,1
6070,2023-01-05,2022-12-21,hp i7 8750 16 1256 1070,manager_2,28150.0,33500.0,5350,False,False,False,2023.0,38.5,731.1688311688312,870.1298701298701,138.96103896103895,hp,laptop,i78750,intel,16,hdd,integrated,0,15.0,1
6086,2023-01-05,2022-12-24,dell 13 i3 5005u 8 ssd128,manager_2,4460.0,6500.0,2040,False,False,False,2023.0,38.5,115.84415584415584,168.83116883116884,52.98701298701299,dell,laptop,i35005,intel,8,ssd,integrated,0,12.0,1
5725,2023-01-05,2022-09-09,монітор samsung s24r350f,manager_1,4000.0,6000.0,2000,False,False,False,2023.0,38.5,103.8961038961039,155.84415584415584,51.94805194805195,unknown,monitor,unknown,other,,hdd,,0,118.0,1
6085,2023-01-05,2022-12-24,dell 13 i3 5005u 8 ssd128,manager_2,4460.0,6500.0,2040,False,False,False,2023.0,38.5,115.84415584415584,168.83116883116884,52.98701298701299,dell,laptop,i35005,intel,8,ssd,integrated,0,12.0,1
5983,2023-01-09,2022-11-22,lenovo pen 4415 8 1tb int tehn,manager_3,6944.0,9200.0,2256,False,False,False,2023.0,38.5,180.36363636363637,238.96103896103895,58.5974025974026,lenovo,laptop,pen,intel,,hdd,integrated,0,48.0,1
6113,2023-01-09,2023-01-05,asus 14 pen 4417u 8 ssd256 gfmx110,manager_2,8198.0,11900.0,3702,False,False,False,2023.0,38.5,212.93506493506493,309.09090909090907,96.15584415584416,asus,laptop,pen,intel,8,ssd,nvidia_mx,0,4.0,1
6023,2023-01-09,2022-12-04,dell i7 8565u 16 ssd500 mx150 burd,manager_1,13200.0,17900.0,4700,False,False,False,2023.0,38.5,342.85714285714283,464.935064935065,122.07792207792208,dell,laptop,i78565,intel,16,ssd,nvidia_mx,0,36.0,1
6110,2023-01-10,2023-01-02,hp 14 ryz 3 3250 8 128 burd 30.12,manager_1,8885.0,12500.0,3615,False,False,False,2023.0,38.5,230.7792207792208,324.6753246753247,93.8961038961039,hp,laptop,ryz33250,amd,8,hdd,integrated,0,8.0,1
6026,2023-01-10,2022-12-08,lenovo pent 3558 4 500 r5 m230 клавиатура,manager_2,3210.0,5300.0,2090,False,False,False,2023.0,38.5,83.37662337662337,137.66233766233765,54.285714285714285,lenovo,laptop,unknown,other,,hdd,amd_radeon,1,33.0,1
6061,2023-01-10,2022-12-16,lenovo 15 thinkbook ryzen 5 4500u 6 ssd256,manager_3,11606.0,15200.0,3594,False,False,False,2023.0,38.5,301.45454545454544,394.8051948051948,93.35064935064936,lenovo,laptop,ryzen54500,amd,,ssd,integrated,0,25.0,1
6078,2023-01-10,2022-12-23,asus taf i5 8300 8 ssd256 gtx 1050,unknown_manager,17627.0,21500.0,3873,False,False,False,2023.0,38.5,457.84415584415586,558.4415584415584,100.5974025974026,asus,laptop,i58300,intel,8,ssd,nvidia_gtx,1,18.0,1
5522,2023-01-10,2022-08-04,моноблок i7 4500u 8 500 резерв технос паша,manager_2,5200.0,8900.0,3700,False,False,False,2023.0,38.5,135.06493506493507,231.16883116883116,96.1038961038961,unknown,all-in-one,i74500,intel,8,hdd,,0,159.0,1
5727,2023-01-10,2022-09-09,монітор lg 24ea430v,manager_1,3000.0,4900.0,1900,False,False,False,2023.0,38.5,77.92207792207792,127.27272727272728,49.35064935064935,unknown,monitor,unknown,other,,hdd,,0,123.0,1
6097,2023-01-10,2022-12-27,lenovo 14 i5 6200u 8128 int,manager_2,6230.0,8500.0,2270,False,False,False,2023.0,38.5,161.8181818181818,220.7792207792208,58.96103896103896,lenovo,laptop,i56200,intel,,hdd,integrated,0,14.0,1
6043,2023-01-10,2022-12-15,dell i7 7820hq 8 ssd256 gf940mx,manager_2,13076.0,17500.0,4424,False,False,False,2023.0,38.5,339.6363636363636,454.54545454545456,114.9090909090909,dell,laptop,i77820,intel,8,ssd,nvidia_mx,0,26.0,1
5786,2023-01-10,2022-10-06,lenovo l470 i5 6gen 8gb ssd256 1шт * 6690,manager_3,6000.0,9200.0,3200,False,False,False,2023.0,38.5,155.84415584415584,238.96103896103895,83.11688311688312,lenovo,laptop,unknown,other,8,ssd,integrated,0,96.0,1
5674,2023-01-10,2022-09-05,монітор samsung c24f390fhi,manager_1,4000.0,5100.0,1100,False,False,False,2023.0,38.5,103.8961038961039,132.46753246753246,28.571428571428573,unknown,monitor,unknown,other,,hdd,,0,127.0,1
